dataset,cadence,rule,n_true,n_cand,recall,prec
08041770_l2,15min,abs 1.5,56,203,1.0,0.27586206896551724
08041770_l2,15min,abs 1.8,56,124,0.9821428571428571,0.4435483870967742
08041770_l2,15min,abs 2.2,56,82,0.8571428571428571,0.5853658536585366
08041770_l2,15min,mad 4,56,1611,1.0,0.03476101800124146
08041770_l2,15min,mad 6,56,983,1.0,0.056968463886063074
08041770_l2,15min,mad 8,56,720,1.0,0.07777777777777778
08041770_l2,15min,budget 175,56,174,1.0,0.3218390804597701
08041770_l3,15min,abs 1.3,112,385,0.9910714285714286,0.2883116883116883
08041770_l3,15min,abs 1.5,112,255,0.9553571428571429,0.4196078431372549
08041770_l3,15min,abs 1.8,112,173,0.9196428571428571,0.5953757225433526
08041770_l3,15min,abs 2.2,112,123,0.8125,0.7398373983739838
08041770_l3,15min,mad 4,112,1680,1.0,0.06666666666666667
08041770_l3,15min,mad 6,112,1051,1.0,0.1065651760228354
08041770_l3,15min,mad 8,112,783,1.0,0.14303959131545338
08041770_l3,15min,budget 175,112,174,0.9196428571428571,0.5919540229885057
