dataset,gauge,level,median,std,mad,step_mad,window,k,thresh,n_events,detected,n_flagged,pct_flagged,n_clusters,fp_clusters
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,1h,6.0,18.680759999999996,5,1,3,0.0014230418943533697,3,2
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,1h,8.0,24.907679999999996,5,0,1,0.0004743472981177899,1,1
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,1h,10.0,31.134599999999995,5,0,1,0.0004743472981177899,1,1
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,1h,12.0,37.36151999999999,5,0,1,0.0004743472981177899,1,1
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,1h,15.0,46.701899999999995,5,0,1,0.0004743472981177899,1,1
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,1h,20.0,62.26919999999999,5,0,0,0.0,0,0
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,3h,0.5,1.5567299999999997,5,5,8653,4.1045271706132365,1422,1417
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,3h,1.0,3.1134599999999995,5,4,2815,1.3352876442015786,906,901
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,3h,2.0,6.226919999999999,5,3,697,0.3306200667880996,255,251
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,3h,3.0,9.340379999999998,5,2,215,0.10198466909532483,89,86
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,3h,4.0,12.453839999999998,5,2,56,0.026563448694596235,28,25
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,3h,5.0,15.567299999999998,5,1,8,0.0037947783849423193,8,7
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,3h,6.0,18.680759999999996,5,1,5,0.0023717364905889494,5,4
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,3h,8.0,24.907679999999996,5,0,2,0.0009486945962355798,2,2
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,3h,10.0,31.134599999999995,5,0,1,0.0004743472981177899,1,1
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,3h,12.0,37.36151999999999,5,0,1,0.0004743472981177899,1,1
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,3h,15.0,46.701899999999995,5,0,1,0.0004743472981177899,1,1
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,3h,20.0,62.26919999999999,5,0,0,0.0,0,0
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,6h,0.5,1.5567299999999997,5,5,4136,1.961900425015179,634,630
